GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;30;7/15/2014 1:44:39 PM;7/15/2014 2:51:10 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;7/15/2014 2:23:09 PM;0.200;0.029;0.000;0.000;0.400;
VAL;7/15/2014 2:23:39 PM;0.200;0.029;0.000;0.000;0.400;
VAL;7/15/2014 2:24:09 PM;0.200;0.029;0.000;2.000;0.400;
VAL;7/15/2014 2:24:39 PM;0.200;0.029;0.000;0.000;0.400;
VAL;7/15/2014 2:25:09 PM;0.200;0.029;0.000;0.000;0.400;
VAL;7/15/2014 2:25:39 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:26:09 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:26:39 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:27:09 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:27:39 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:28:09 PM;0.100;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:28:39 PM;0.000;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:29:09 PM;0.000;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:29:39 PM;0.000;0.029;0.000;0.000;0.300;
VAL;7/15/2014 2:30:09 PM;0.100;0.049;0.000;0.000;0.300;
VAL;7/15/2014 2:30:39 PM;0.000;0.049;0.000;0.000;0.300;
VAL;7/15/2014 2:31:09 PM;0.000;0.070;0.000;0.000;0.300;
VAL;7/15/2014 2:31:39 PM;0.000;0.079;0.000;0.000;0.300;
VAL;7/15/2014 2:32:09 PM;0.100;0.070;0.000;3.000;0.300;
EVE;7/15/2014 2:32:25 PM;Pump on(2,255)
EVE;7/15/2014 2:32:34 PM;Pump off(1,255)
EVE;7/15/2014 2:32:34 PM;Flowalarm on(1,255)
EVE;7/15/2014 2:32:34 PM;Device error on(3,255)
VAL;7/15/2014 2:32:39 PM;0.100;0.059;0.000;0.000;0.300;
EVE;7/15/2014 2:32:41 PM;Flowalarm off(1,255)
EVE;7/15/2014 2:32:41 PM;Device error off(3,255)
EVE;7/15/2014 2:32:44 PM;Pump off(2,255)
VAL;7/15/2014 2:33:09 PM;0.100;0.039;0.000;0.000;0.300;
VAL;7/15/2014 2:33:39 PM;0.100;0.039;0.000;0.000;0.200;
VAL;7/15/2014 2:34:09 PM;0.100;0.049;0.000;0.000;0.200;
VAL;7/15/2014 2:34:39 PM;0.200;0.070;0.000;0.000;0.200;
VAL;7/15/2014 2:35:09 PM;0.200;0.079;0.000;0.000;0.200;
VAL;7/15/2014 2:35:39 PM;0.200;0.070;0.000;0.000;0.200;
VAL;7/15/2014 2:36:09 PM;0.200;0.059;0.000;0.000;0.200;
VAL;7/15/2014 2:36:39 PM;0.200;0.049;0.000;0.000;0.200;
VAL;7/15/2014 2:37:09 PM;0.200;0.049;0.000;0.000;0.200;
VAL;7/15/2014 2:37:39 PM;0.200;0.039;0.000;0.000;0.200;
VAL;7/15/2014 2:38:09 PM;0.200;0.029;0.000;0.000;0.200;
VAL;7/15/2014 2:38:39 PM;0.200;0.029;0.000;0.000;0.200;
VAL;7/15/2014 2:39:09 PM;0.200;0.039;0.000;0.000;0.200;
VAL;7/15/2014 2:39:39 PM;0.200;0.049;0.000;0.000;0.200;
VAL;7/15/2014 2:40:09 PM;0.100;0.039;0.000;0.000;0.200;
VAL;7/15/2014 2:40:39 PM;0.000;0.029;0.000;0.000;0.200;
VAL;7/15/2014 2:41:09 PM;0.000;0.029;0.000;0.000;0.200;
VAL;7/15/2014 2:41:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:42:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:42:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:43:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:43:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:44:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:44:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:45:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:45:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:46:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:46:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:47:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:47:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:48:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:48:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:49:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:49:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:50:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:50:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:51:09 PM;0.000;0.029;0.000;0.000;0.000;
EVE;7/15/2014 2:51:10 PM;Instrument switch off(1,0)
SESSION_HEADER;Peak;30;7/15/2014 2:52:21 PM;7/16/2014 9:27:06 AM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
GAS_A1;;0.88;0.50;30.00;20.00;2.00;
GAS_A2;;1.76;1.00;60.00;40.00;4.00;
RANGE;;100.00;5.00;500.00;200.00;20.00;
SERIALNO;;ARZJ0013;ARAK0001;ARZM0586;ARYM0049;ARWM0078;
PARTNO;;6810460;6810590;6810258;6809145;6809160;
CALDATE;;7/15/2014;7/15/2014;7/15/2014;7/15/2014;7/15/2014;
SENSORTYPE;;HPP-IR;HPP-IR;EC;EC;EC;
EVE;7/15/2014 2:52:21 PM;Charging process started(0,0)
EVE;7/16/2014 8:05:32 AM;Charging process finished(0,0)
EVE;7/16/2014 8:06:04 AM;Instrument switch on(1,0)
EVE;7/16/2014 8:06:07 AM;Begin of Shift(1,0)
EVE;7/16/2014 8:06:07 AM;Begin of Shift(1,1)
EVE;7/16/2014 8:06:07 AM;Begin of Shift(1,2)
EVE;7/16/2014 8:06:07 AM;Begin of Shift(1,3)
EVE;7/16/2014 8:06:07 AM;Begin of Shift(1,4)
VAL;7/16/2014 8:06:34 AM;INV;INV;INV;INV;INV;
VAL;7/16/2014 8:07:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:07:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:08:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:08:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:09:04 AM;0.000;0.029;0.000;0.000;0.000;
