GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/16/2014 2:13:58 PM;8/16/2014 2:47:54 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/16/2014 2:16:04 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:05 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:06 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:07 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:08 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:09 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:10 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:11 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:12 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:13 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:14 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:15 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:16 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:17 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:18 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:19 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:20 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:21 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:22 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:23 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:24 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:25 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:26 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:27 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:28 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:29 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:30 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:31 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:32 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:33 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:34 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:35 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:36 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:37 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:38 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:39 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:40 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:41 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:42 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:43 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:44 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:45 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:46 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:47 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:48 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:49 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:50 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:51 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:52 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:53 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:54 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:55 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:56 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:57 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:58 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:16:59 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:00 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:01 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:02 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:03 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:04 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:05 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:06 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:07 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:08 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:09 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:10 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:11 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:12 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:13 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:14 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:15 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:16 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:17 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:18 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:19 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:20 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:21 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:22 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:23 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:24 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:25 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:26 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:27 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:28 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:29 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:30 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:31 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:32 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:33 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:34 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:35 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:36 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:37 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:38 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:39 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:17:40 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:41 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:42 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:43 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:44 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:45 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:46 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:47 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:48 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:49 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:50 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:51 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:52 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:53 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:54 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:55 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:56 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:57 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:58 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:17:59 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:00 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:01 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:02 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:03 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:04 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:05 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:06 PM;NEG;0.000;NEG;0.000;21.10;
