GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/20/2014 11:13:50 AM;8/20/2014 12:55:41 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/20/2014 11:17:31 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:32 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:33 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:34 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:35 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:36 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:37 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:38 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:39 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:40 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:41 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:42 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:43 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:44 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:45 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:46 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:47 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:48 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:49 AM;NEG;0.000;0.000;0.000;20.90;
