GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/12/2014 5:20:16 PM;8/12/2014 7:02:50 PM;X-am 7000;ARYD0215;1;DLD;2.02W
GASTYPE;;ch4;CO2;SO2;CO;NH3;
UNITNAME;;%LIE;Vol%;ppm;ppm;ppm;
VAL;8/12/2014 5:22:45 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:46 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:47 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:48 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:49 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:50 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:51 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:52 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:53 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:54 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:55 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:56 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:57 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:58 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:59 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:00 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:01 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:02 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:03 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:04 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:05 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:06 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:07 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:08 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:09 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:10 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:11 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:12 PM;0.000;0.059;0.000;0.000;0.000;
