GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/19/2014 12:20:29 PM;8/19/2014 2:01:04 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;8/19/2014 12:22:52 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:53 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:54 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:55 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:56 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:57 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:58 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:59 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:00 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:01 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:02 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:03 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:04 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:05 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:06 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:07 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:08 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:09 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:10 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:11 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:12 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:13 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:14 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:15 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:16 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:17 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:18 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:19 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:20 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:21 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:22 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:23 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:24 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:25 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:26 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:27 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:28 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:29 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:30 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:31 PM;0.000;0.009;NEG;NEG;0.000;
